ALT="logo .png"	SRC="./assets/pmpa/logo.png"	ID="img_comp-l9v8ia4d1"
ALT="LinkedIn"	SRC="./psy_files/6ea5b4a88f0b4f91945b40499aa0af00.png"	ID="img_0_comp-l9v8ia4g1"
ALT="cabinet angers psychologue"	SRC="./assets/pmpa/cabinet_psy_img.jpg"	ID=""
ALT="image d&#39;une psychologue tenant un crayon à son bureau"	SRC="./assets/pmpa/psy_bureau.jpg"	ID="img_comp-l9v6jxlx1"
ALT="image d&#39;un jeune enfant qui joue avec des kaplas"	SRC="./assets/pmpa/kaplas.jpg"	ID="img_comp-l9q5229t"
ALT="image de pieds d&#39;adolescents assis sur un muret"	SRC="./assets/pmpa/muret.jpg"	ID="img_comp-l9q5229v"
ALT="image de pots à crayons et autres fournitures scolaires"	SRC="./assets/pmpa/pot_crayon.jpg"	ID="img_comp-l9v7pgzp"
ALT="image d&#39;une famille (des parents et deux enfants) qui sont assis dans une forêt"	SRC="./assets/pmpa/famille_foret.jpg"	ID="img_comp-l9v7pgzr"
ALT="colored pencil lined up on top of white surface_edited_edited_edited.jpg"	SRC="./assets/pmpa/colored_pencil.jpg"	ID=""
ALT="logo_universite_paris_descartes_edited.png"	SRC="./assets/pmpa/logo_universite.jpg"	ID="img_comp-l9v6t8rq1"
ALT="POZZA Maud psychologue"	SRC="./assets/pmpa/maud_pozza.jpg"	ID="img_comp-l9q5179v"
ALT="Sans titre.png"	SRC="./psy_files/28fcf3_8768031ab560428b808b3a0c0f2a64df~mv2.png"	ID=""
ALT="image d&#39;un cabinet de psychologue acceuillant les enfants"	SRC="./assets/pmpa/cabinet_enfant.jpg"	ID="img_comp-l9rgvhi31"
ALT="LinkedIn"	SRC="./psy_files/7528824071724d12a3e6c31eee0b40d4.png"	ID="img_0_comp-l9q4ykc11"
ALT="Une conférence sur le &quot;Burn-out parental&quot; à Angers "	SRC="./psy_files/28fcf3_ccdffb350a5847919d7b43178666a5c6~mv2.webp"	ID=""
ALT="Une conférence sur le &quot;Burn-out parental&quot; à Angers "	SRC="./psy_files/28fcf3_ccdffb350a5847919d7b43178666a5c6~mv2(1).webp"	ID=""
ALT="Fermer"	SRC="data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIyNCIgaGVpZ2h0PSIyNCIgdmlld0JveD0iMCAwIDI0IDI0Ij48Zz48Zz48Zz48cGF0aCBmaWxsPSIiIGlkPSJjbG9zZS1zdmctcGF0aCIgZD0iTTE3LjI5NCA2bC43MDYuNzA2TDEyLjcwNSAxMiAxOCAxNy4yOTRsLS43MDYuNzA2TDEyIDEyLjcwNSA2LjcwNiAxOCA2IDE3LjI5NCAxMS4yOTUgMTIgNiA2LjcwNiA2LjcwNiA2IDEyIDExLjI5NSAxNy4yOTQgNnoiIHRyYW5zZm9ybT0idHJhbnNsYXRlKC00NzEuMDAwMDAwLCAtNjQ2LjAwMDAwMCkgdHJhbnNsYXRlKDQ3MS4wMDAwMDAsIDY0Ni4wMDAwMDApIi8+PC9nPjwvZz48L2c+PC9zdmc+"	ID=""
